"","WINP","PTS","FGP","TPP","FTP","REB","AST","TOV","STL","BLK"
"236",0.305,96.2,43.5,33.3,77.7,42.5,21,15.4,7.1,4.2
"237",0.305,95,44.4,34.4,74.7,41.2,20.3,14.6,7,4.5
"238",0.28,96.5,44.5,35.3,76.3,42,21,14.9,7.7,4.3
"239",0.232,99.5,43.5,31.2,71,42.7,21.8,16.9,9.3,4
"240",0.183,95.5,43.8,35.3,74.7,41.1,21.5,15.1,6.6,4.9
"241",0.805,102.9,49.6,39.6,75.4,38.6,23,13.9,8.7,5.4
"242",0.732,105.7,48.1,37.7,82.8,43.6,21.4,15.3,8.3,7.6
"243",0.707,103,48.1,37.6,79.1,41.3,25.1,14.7,8.5,5.4
"244",0.695,106.1,47.8,34.3,70.1,45,24.4,15.3,9.3,6.5
"245",0.683,101.1,47.8,35.8,71.1,41.6,23.9,14.6,9.6,5.6
"246",0.683,93.4,44.4,34.5,77.3,42.7,20.9,14,8.6,5.3
"247",0.659,100,44.8,37.6,75.9,40.6,19.3,12,8.2,3.6
"249",0.598,96.9,45,35.7,73.1,42.8,20.3,14.7,7.3,4.8
"250",0.573,101.2,45.8,40.3,79,45,22.5,15.1,6.9,4.2
"251",0.549,93.2,43.7,35.3,77.3,43.2,23,14.3,7.2,5.1
"252",0.549,106,46.1,36.6,75.4,43.4,23.2,16.4,8.3,4.4
"253",0.549,102.2,45.8,35.5,69.2,44.8,22.2,15,7,5.2
"254",0.537,98,46.4,37.1,71.5,40.9,24.5,14.9,8.1,4.5
"255",0.524,98,45.4,36.6,76.4,42,22.7,14.8,8.4,6.3
"257",0.5,101.1,46.2,37.2,79.3,41.9,23.2,14,7.9,5.5
"258",0.463,98.9,43.5,36,73.6,44,22.9,14.1,8.4,6.7
"259",0.415,93.2,44.4,36,72.9,41.3,22.8,13,7.4,4.7
"260",0.415,97.2,44.6,34.3,78.8,40.2,21.5,13.7,7.3,4.8
"261",0.402,97.5,44.8,35.3,77.6,40.8,21.8,14.7,6.6,4.3
"262",0.378,95.7,43.9,30.5,74.2,42,22.4,14.8,8.5,4.7
"263",0.354,94.9,44.9,35.6,69.9,42.1,21.2,15.1,7,4.9
"264",0.354,93.2,43.5,36.5,73.3,43.2,21.6,15.1,7.3,4.6
"265",0.341,100.2,44.7,36.3,76.9,40.6,20.8,14.6,8.2,4.2
"266",0.329,94.1,44.8,36.3,77.6,41.6,21,14.5,6.3,5.4
"267",0.305,95.2,44.3,33,74.4,41.6,22.6,15.6,8,5.3
"268",0.293,96.5,43.4,34.6,75.6,41,20.7,14,7.9,4.1
"269",0.256,93.4,42.5,33.5,75,40.3,19.4,14.1,7.2,5.8
"270",0.244,94.1,44.8,32.9,75.5,42.7,22.8,14.5,6.4,4.4
"301",0.756,98.6,46.2,36.1,74.3,44.2,22.3,14.2,7.2,5.7
"302",0.744,103.7,47.5,39.7,76.7,41.9,22.4,13.4,7.3,4.5
"303",0.707,102.1,48.1,37,76.9,42.1,20,13.9,6.6,5.2
"304",0.695,100.2,47.5,36.5,77.7,41.4,23.8,14,6.8,4.3
"305",0.695,101.5,46.3,35.2,77.9,44,22,13.1,7.3,5.1
"306",0.683,96.5,48.6,36.5,77,38.8,23.4,14.6,8.2,4.2
"307",0.671,104.8,46.4,34.7,82.3,42.8,20.4,14.1,8,5.9
"308",0.634,99.2,46.1,36.6,69.2,43.2,20,14.9,6.7,4.7
"309",0.61,107.5,47.6,38.8,76.5,42,22.1,14.1,7.4,4.3
"310",0.585,96.3,44.7,34.5,80.4,39.3,21.2,13,8,4.4
"311",0.561,99.9,47.1,33.4,75,41,20.6,14,9.4,5.4
"312",0.561,94.9,45.9,36,76.5,40.1,20.6,13,7.6,4.4
"313",0.537,95,46.2,35.2,77.9,39.3,22,13.6,6.1,4.2
"314",0.524,105.9,45.4,36.7,80.1,42.8,23.8,13.5,7.1,4.5
